"Country","Sex","AgeGroup","WealthQuintile","IDPstatus","SettlementType"
"Kazakhstan",6.51840022275788,6.23170415888784,2.32826928520951,NA,0.215589786515967
"Belarus",3.54325551198329,12.8683480589262,0.131528932368509,NA,1.19817122751717
"Georgia",2.01071470084644,9.634528673382,8.46877750196568,4.40898755739342,3.80441833054673
"Kosovo",3.51617332226385,8.40635306575152,8.8779024144924,NA,2.01371990466649
"Kyrgyzstan",3.44974064017137,4.76542163031038,7.71913117682295,NA,3.94060002553545
"North Macedonia",4.78967970624864,11.2740093306166,4.48119023082038,NA,2.57256760704165
"Montenegro",0.356657589362683,8.46642280319557,5.5713508975113,NA,3.28503425762959
"Serbia",1.95846658078457,8.32551574178921,0.538666874840101,NA,0.354918106680965
"Turkmenistan",5.73670781829178,8.97585095335813,0.938436764651729,NA,4.86038331329947
"Uzbekistan",3.45264684904205,6.95993859957471,8.08904701833288,NA,2.38181848174876
