"Country","term","estimate","std.error","statistic","p.value","Significant"
"Albania","Year",0.000330849359077818,7.24223584203343e-05,4.56833174580689,4.91621482450744e-06,"*"
"Belarus","Year",0.000399850508782427,0.000143705306721224,2.78243384260056,0.00539528639157997,"*"
"Republic of Moldova","Year",0.000104575741930514,9.6664134594817e-05,1.0818463576885,0.279320803857462,""
"United Kingdom","Year",0.00111580261865897,0.000101337162179902,11.0107940133365,3.39002758995004e-28,"*"
"Tajikistan","Year",-3.13640717412751e-05,0.000544511153369653,-0.0576004211248596,0.954066914222533,""
"Uzbekistan","Year",-0.000119664141381433,0.000368636916281787,-0.324612473944311,0.74547438524626,""
"Bosnia and Herzegovina","Year",0.000187094147541966,0.000158658089843942,1.17922853934517,0.238307184724299,""
"Türkiye","Year",0.000450947862728062,0.00081362488357887,0.554245416812339,0.579410900037187,""
"Serbia","Year",0.000387969248184842,0.000478171574351345,0.811359915551514,0.417159011437529,""
"Slovakia","Year",8.10254164985225e-05,0.000483564661148592,0.167558597656963,0.866930544883676,""
"France","Year",0.000239643685161516,0.000504795348017872,0.474734337593444,0.634976340027702,""
