"Country","ISO3","Indicator","Year","Value","Sex","AgeGroup","StatisticalUnit","Source","Dataset","ICVACCategory","WealthQuintile","IDPstatus","SettlementType","Comments","Reliability"
"Kazakhstan","KAZ","Violent discipline - Any physical punishment","2015",26.21028,"Total",NA,"Rate","MICS 2015","MICS-PHY-VIOLENCE","Physical violence against a child",NA,NA,NA," ","Highly reliable (CV<10%)"
"Kazakhstan","KAZ","Violent discipline - Any physical punishment","2015",30.62775,"Male",NA,"Rate","MICS 2015","MICS-PHY-VIOLENCE","Physical violence against a child",NA,NA,NA," ","Highly reliable (CV<10%)"
"Kazakhstan","KAZ","Violent discipline - Any physical punishment","2015",21.40934,"Female",NA,"Rate","MICS 2015","MICS-PHY-VIOLENCE","Physical violence against a child",NA,NA,NA," ","Highly reliable (CV<10%)"
"Kazakhstan","KAZ","Violent discipline - Any physical punishment","2015",26.04884,NA,NA,"Rate","MICS 2015","MICS-PHY-VIOLENCE","Physical violence against a child",NA,NA,"Urban"," ","Highly reliable (CV<10%)"
"Kazakhstan","KAZ","Violent discipline - Any physical punishment","2015",26.35373,NA,NA,"Rate","MICS 2015","MICS-PHY-VIOLENCE","Physical violence against a child",NA,NA,"Rural"," ","Highly reliable (CV<10%)"
"Kazakhstan","KAZ","Violent discipline - Any physical punishment","2015",30.17471,NA,NA,"Rate","MICS 2015","MICS-PHY-VIOLENCE","Physical violence against a child","Poorest (Q1)",NA,NA," ","Highly reliable (CV<10%)"
"Kazakhstan","KAZ","Violent discipline - Any physical punishment","2015",26.88204,NA,NA,"Rate","MICS 2015","MICS-PHY-VIOLENCE","Physical violence against a child","Richest (Q5)",NA,NA," ","Highly reliable (CV<10%)"
"Kazakhstan","KAZ","Violent discipline - Any physical punishment","2015",998,NA,"<1","Rate","MICS 2015","MICS-PHY-VIOLENCE","Physical violence against a child",NA,NA,NA,"Not available/applicable","Not applicable/available"
"Kazakhstan","KAZ","Violent discipline - Any physical punishment","2015",17.28498,NA,NA,"Rate","MICS 2015","MICS-PHY-VIOLENCE","Physical violence against a child",NA,NA,NA," ","Sufficiently reliable (CV 10%-20%)"
"Kazakhstan","KAZ","Violent discipline - Any physical punishment","2015",24.78697,NA,"2","Rate","MICS 2015","MICS-PHY-VIOLENCE","Physical violence against a child",NA,NA,NA," ","Highly reliable (CV<10%)"
